car_km_per_year,public_transport_km_per_year,flights_per_year,electricity_kwh_per_year,natural_gas_m3_per_year,renewable_energy_percentage,diet_type,meat_kg_per_year,waste_kg_per_year,recycling_rate,house_size_m2,num_people_household,carbon_footprint_kgCO2_per_year
15202,8266,8,4317,716,18,vegetarian,2,627,96,107,1,8727.814000000002
6966,3471,6,5020,2362,61,vegetarian,70,174,19,44,1,9968.342
7079,9028,1,4155,2756,98,non_vegetarian,88,717,32,192,4,10924.358
7987,5624,5,5302,2757,92,vegan,66,235,39,38,4,9469.11
6799,8691,1,3198,1936,58,vegan,78,173,98,154,3,7015.358
4465,8329,0,1164,559,64,vegetarian,92,353,33,85,4,4304.688
17019,2097,6,2998,968,67,vegetarian,49,117,61,99,1,8182.954
13417,5068,1,4057,2403,27,vegan,28,142,99,186,2,9627.361
18077,6397,1,3084,1077,17,vegetarian,73,149,90,144,1,8631.43
8311,2757,4,5428,889,25,non_vegetarian,31,614,18,165,2,8356.814
17214,3920,4,1402,792,18,vegan,86,843,42,122,3,8142.112
14098,8186,6,1413,2312,54,non_vegetarian,38,830,68,148,5,11181.97
5177,1900,0,1044,981,56,non_vegetarian,8,670,62,150,4,3996.36
14262,2610,7,5157,801,5,vegan,13,895,92,146,4,8983.554999999998
8308,6900,2,3467,42,0,vegetarian,67,913,9,40,1,6724.094000000001
5949,1449,3,1867,1609,7,non_vegetarian,63,675,12,145,1,8868.605
19222,8738,8,1018,2909,96,non_vegetarian,19,681,92,143,2,12730.724
1150,5017,3,1364,1777,50,vegetarian,27,402,4,177,4,6185.006
1931,7999,9,4832,349,84,non_vegetarian,13,241,57,30,3,4658.244
9204,6052,4,1579,1567,87,vegetarian,43,301,58,41,1,7188.091
18048,2096,6,1545,1129,24,vegetarian,97,306,75,130,4,9506.7
1081,8895,3,5150,2959,46,vegetarian,76,514,58,144,5,10134.034000000001
16896,6404,0,5873,2048,54,non_vegetarian,94,320,76,76,2,11822.43
13407,9817,8,4039,1780,63,non_vegetarian,96,461,85,108,1,12195.935
7805,3331,3,5137,583,82,non_vegetarian,38,857,14,150,1,6458.5160000000005
5237,7462,8,5044,431,92,vegetarian,27,180,76,177,3,4926.52
16943,5105,5,5326,1932,9,vegan,63,862,0,147,1,13072.980000000001
12775,2978,0,1452,2100,55,vegan,88,662,37,64,4,8456.508
16244,2839,2,4961,2987,11,non_vegetarian,31,384,52,55,4,13241.171
13184,3384,1,2381,2567,32,vegetarian,8,468,51,106,4,9520.316
3343,685,8,2467,1348,70,vegetarian,27,591,0,137,5,7197.2
13500,7531,0,3738,2194,16,vegetarian,94,995,10,91,5,11915.41
9662,4283,8,2216,2030,60,non_vegetarian,16,445,57,87,1,9426.18
16964,7736,8,1880,1189,9,vegan,86,303,39,197,5,9810.094
15125,7710,7,4814,1162,30,vegan,76,124,85,122,5,9613.279999999999
8130,1619,7,4149,2676,59,vegan,54,652,98,178,3,9974.567
19531,6868,0,1084,298,69,non_vegetarian,9,168,59,48,5,5380.604000000001
1679,1431,7,5144,1939,16,non_vegetarian,79,615,43,183,2,10959.82
3506,9067,9,2168,788,49,non_vegetarian,5,591,5,124,2,6679.0
13284,4713,2,5164,849,36,vegetarian,47,339,27,92,2,7822.876
7253,9557,6,4129,2225,81,vegetarian,74,460,30,138,1,9849.305
19128,9435,0,4645,2889,61,non_vegetarian,66,540,7,104,4,13667.085
9435,4998,0,3526,1377,89,vegan,91,130,4,108,3,5800.87
11310,162,9,3867,1177,79,vegetarian,40,998,53,108,1,8664.443
13296,1974,4,4516,1949,71,vegan,78,728,16,95,4,9832.656000000003
18525,3291,4,4367,877,87,non_vegetarian,59,806,37,158,3,9414.409000000001
13245,8461,7,3194,1138,76,vegan,76,701,8,135,3,9052.586
11151,631,6,4555,1577,28,non_vegetarian,41,789,73,158,3,10046.003999999999
10457,905,7,1445,2806,31,non_vegetarian,80,756,83,173,2,12388.510999999999
2479,2014,5,4626,2492,87,vegan,70,813,77,72,2,7845.772000000001
4452,9833,5,5016,2755,79,vegetarian,27,421,13,161,2,9692.516
5881,7896,1,4875,2649,10,non_vegetarian,12,443,25,83,3,10234.8
14069,204,5,4337,1646,95,non_vegetarian,80,814,92,157,3,9751.641
2849,581,4,1261,1903,5,non_vegetarian,14,635,61,50,2,6827.595
7390,5675,2,2848,1382,34,non_vegetarian,35,454,90,55,3,6992.31
11922,9032,5,5992,144,32,vegetarian,91,570,24,29,2,8419.539999999999
2489,5347,7,5025,2322,17,non_vegetarian,14,204,79,45,2,9699.636999999999
9823,9911,8,3266,2556,36,vegetarian,74,886,35,39,2,12652.890000000001
9207,2643,0,1091,1202,12,non_vegetarian,55,421,97,144,4,6365.3240000000005
9540,8017,2,5222,2800,73,non_vegetarian,94,671,79,63,3,11905.458
16364,2297,2,5175,1861,89,non_vegetarian,3,982,32,81,1,9177.243
4611,874,7,4309,1854,80,non_vegetarian,98,626,2,98,2,10605.063999999998
19223,5560,0,1982,2524,63,non_vegetarian,97,603,86,28,1,12308.226
5878,689,4,4443,1866,0,vegetarian,51,184,10,90,4,9150.13
16347,4000,2,3533,1098,62,non_vegetarian,90,808,57,109,3,9892.062
851,9614,1,1693,1151,88,vegetarian,9,334,63,43,2,3648.424
18071,671,7,5120,1734,33,non_vegetarian,93,955,17,159,2,14518.720000000001
6833,7927,2,1155,2713,9,vegetarian,44,362,46,79,2,9160.339
11938,1171,6,4588,567,83,vegan,83,105,43,103,1,6026.0599999999995
2427,5591,0,2812,1813,6,non_vegetarian,28,593,92,139,4,6553.982
4000,9135,5,5114,530,55,non_vegetarian,52,992,58,97,3,6871.352
5052,6342,2,2407,2206,79,vegan,28,388,49,35,4,6999.619000000001
2738,1449,7,2216,1561,36,non_vegetarian,22,669,68,48,2,7180.514
5387,2539,5,2410,680,28,non_vegetarian,56,756,87,179,4,6370.854000000001
8002,3959,1,4497,2070,11,non_vegetarian,49,977,28,138,1,10778.706999999999
5536,6285,5,5372,1070,16,vegan,20,653,92,54,5,7269.722
13479,5432,6,5840,2572,47,non_vegetarian,42,449,89,62,5,12381.902
3913,4260,4,1551,728,83,non_vegetarian,9,299,66,115,3,4009.423
17450,2361,2,4394,1729,25,vegan,75,785,1,138,3,11017.669999999998
10636,6164,3,2176,2191,82,non_vegetarian,29,996,24,72,4,9908.768000000002
5726,3670,3,5734,667,11,non_vegetarian,50,434,18,39,3,7954.914
3373,1753,5,5332,1612,20,non_vegetarian,32,706,39,134,1,9008.238
12161,8100,9,1997,680,41,vegetarian,17,316,1,27,2,7828.927000000001
2082,1938,0,5076,972,60,vegan,77,722,82,141,2,4122.228
16281,8562,3,3731,2846,57,non_vegetarian,21,452,64,61,4,11788.361
15305,5976,9,4937,2132,53,vegan,63,791,61,96,2,11929.476999999999
9817,6588,3,5052,2463,33,non_vegetarian,20,774,90,89,4,10340.54
11261,8616,9,1372,2741,6,vegetarian,0,730,53,130,3,11677.42
417,6304,0,3248,2529,34,vegetarian,14,424,44,35,3,7144.832
8808,7345,8,1848,2503,14,vegan,35,327,48,88,1,10424.562000000002
3267,7875,3,3556,826,64,non_vegetarian,46,244,98,72,2,5340.013999999999
17209,9086,6,3322,296,89,vegan,53,407,68,192,1,6691.442
5745,6633,2,1503,1253,98,non_vegetarian,85,753,37,198,5,7650.582
11338,597,9,4189,2997,24,non_vegetarian,31,733,3,25,1,14250.088
412,3062,2,1702,2727,58,non_vegetarian,57,384,16,142,4,8666.528
7543,2336,7,4625,2425,78,non_vegetarian,45,491,52,52,4,10373.374
7587,9879,7,1314,2468,85,vegan,53,837,84,34,1,9323.156000000003
728,572,0,3376,2152,5,vegan,32,459,52,33,3,6651.176
11657,7521,9,2040,1728,51,vegetarian,38,868,30,186,5,10519.93
5988,6171,1,5378,2024,78,non_vegetarian,22,896,21,82,1,8263.842
18888,7097,7,3990,329,87,non_vegetarian,42,264,10,24,3,8361.480000000001
2967,2090,0,1257,2486,20,vegan,54,832,33,140,1,7467.692
14527,6566,7,1574,1155,70,vegan,1,680,14,109,2,8587.84
19170,4624,7,5669,1890,92,non_vegetarian,65,920,9,126,4,13083.919999999998
16048,1633,1,2552,381,95,vegetarian,37,323,95,199,2,4895.620000000001
17506,1517,3,5518,2185,31,non_vegetarian,28,223,52,35,2,11549.432
17955,3648,5,1757,2990,52,vegetarian,66,443,47,118,5,12738.702
5073,1537,8,3810,842,58,non_vegetarian,70,950,30,185,3,8662.55
5104,3137,7,2104,2317,68,vegan,35,623,36,72,4,8804.986
2143,6985,7,5524,395,61,vegan,28,151,27,96,2,4744.643999999999
7357,97,6,4459,2960,3,vegetarian,36,228,30,112,4,11832.145
12043,3750,8,4992,2511,85,vegetarian,99,234,69,193,3,11459.572
3440,8535,1,1203,449,17,vegetarian,86,756,13,117,1,5106.891
5644,8174,2,3775,1354,98,vegetarian,44,226,86,117,2,5434.202
10518,8103,9,3332,1986,80,non_vegetarian,15,837,15,162,3,10749.560000000001
14552,5413,7,2992,1308,55,vegan,30,170,24,78,4,8614.81
2914,4666,5,3243,1297,23,non_vegetarian,33,372,38,197,3,7214.807000000001
13584,610,9,1306,2067,65,vegetarian,49,286,65,156,1,10201.53
12144,1727,8,2687,2286,12,non_vegetarian,64,102,37,45,3,12113.098
14397,1854,9,5109,1293,61,non_vegetarian,81,384,40,22,4,11406.074999999999
8787,5055,3,2860,2465,53,vegetarian,61,121,97,119,2,9192.284
14191,2324,7,2961,1849,14,vegan,42,265,39,66,2,10193.399999999998
728,9369,9,1722,185,68,vegetarian,55,409,63,24,5,4524.464
17749,9283,2,1779,1233,2,vegetarian,14,974,88,81,4,8251.044
698,5774,2,1528,1437,36,non_vegetarian,47,576,99,103,5,5570.628000000001
7186,6519,7,5893,252,36,non_vegetarian,48,597,15,152,5,8112.32
14512,1749,4,1343,18,2,non_vegetarian,80,533,81,157,1,7026.206
13923,781,2,4786,2759,62,non_vegetarian,43,857,76,99,4,11282.214000000002
16779,7548,9,4682,1159,34,non_vegetarian,9,333,58,82,2,10341.008
7400,6823,0,1208,222,51,non_vegetarian,19,936,90,44,4,3242.59
4171,2105,2,5736,2,86,non_vegetarian,69,769,97,63,1,3749.496
4360,3867,8,4406,1259,27,vegan,7,762,10,172,4,8463.78
2502,7193,4,2311,853,93,vegetarian,44,824,0,177,4,5724.135
17101,4976,9,3299,1488,17,vegetarian,33,475,12,33,5,11461.984999999999
19166,2113,1,4336,227,35,non_vegetarian,95,829,29,105,4,9676.511999999999
5486,5879,6,2947,2960,32,vegan,50,345,68,190,5,10281.85
8335,3970,1,1919,1677,63,vegetarian,3,402,17,175,5,6465.602999999999
4491,9259,3,3044,498,25,vegan,38,504,77,38,3,4662.505999999999
11130,7264,6,1418,2568,47,vegetarian,83,887,12,121,1,12126.478000000001
7651,1577,3,2749,2749,39,non_vegetarian,23,762,31,189,5,10262.899
1167,9203,6,3842,1885,16,vegetarian,87,807,70,39,4,9187.470000000001
1062,2274,6,2099,2964,39,non_vegetarian,54,120,71,98,5,9914.935
18540,4869,0,4392,2015,6,non_vegetarian,25,356,49,158,5,11047.498
11174,6744,5,3772,1162,56,vegetarian,24,498,70,117,5,7568.76
4729,2426,8,3480,1299,7,non_vegetarian,35,628,79,140,2,8465.684
9348,5546,1,2545,2338,55,non_vegetarian,70,150,30,171,2,9724.525
5334,6852,2,2070,1076,30,vegetarian,73,546,50,36,2,6262.799999999999
8924,2551,9,2850,714,58,vegetarian,57,369,26,175,2,7449.858
4330,6411,4,5198,947,57,vegan,11,926,59,69,3,5940.908
6801,7,8,3939,2695,11,non_vegetarian,0,694,32,29,5,11352.861
4846,8087,3,2903,2731,47,non_vegetarian,49,917,52,168,3,10470.133000000002
6731,2555,0,1678,869,30,vegetarian,24,735,92,77,4,4229.09
15368,475,3,1988,1070,82,vegan,79,901,71,181,1,7063.192000000001
17337,5416,5,3475,93,62,vegetarian,4,361,32,114,3,6330.314
2539,8676,4,2607,2987,73,non_vegetarian,82,464,40,126,2,10982.665
7056,7239,0,3869,559,38,vegan,67,148,18,190,2,4670.7880000000005
11516,6710,3,2502,1775,75,non_vegetarian,5,617,84,158,4,7564.146000000001
11493,5000,5,2789,2260,19,vegan,25,728,40,52,5,10369.385
1542,4654,9,2425,435,47,non_vegetarian,54,217,84,65,1,5824.2210000000005
13964,8078,9,3440,851,70,non_vegetarian,38,552,88,148,3,8809.932
17575,6063,3,3042,2555,53,non_vegetarian,8,874,41,168,5,11537.208
6313,2285,8,2278,2883,77,vegan,44,964,22,81,5,10995.876
19065,5223,4,3594,2698,74,non_vegetarian,13,985,74,106,3,11749.349999999999
17924,6971,7,5689,204,70,vegan,54,740,32,92,3,8142.060000000001
13807,3525,8,3436,2428,28,vegan,8,496,19,20,3,11796.978000000001
9580,2822,9,4803,1099,73,non_vegetarian,14,782,24,40,3,8601.281
17749,4943,4,3205,76,92,non_vegetarian,36,126,89,41,2,6074.098000000001
8691,6530,5,2027,815,72,non_vegetarian,49,810,51,23,5,7265.9
7494,258,0,4539,767,99,vegan,83,471,11,84,5,4271.137000000001
4312,282,6,4483,2457,47,non_vegetarian,71,998,31,198,2,11635.010999999999
1324,1898,3,3241,105,73,non_vegetarian,95,925,32,82,5,5454.435
3141,4135,1,3765,2598,82,non_vegetarian,20,956,73,162,3,7624.416
19870,6629,4,2173,2873,55,non_vegetarian,56,196,67,55,1,13168.799
1810,3200,2,4230,2135,94,non_vegetarian,18,628,14,48,5,6877.044
6588,5110,5,4350,1746,16,vegan,92,784,50,199,1,9344.5
19307,7167,7,5911,2928,8,non_vegetarian,57,712,5,193,1,17301.329999999998
5301,612,6,1403,1465,96,non_vegetarian,94,285,90,88,2,8138.160000000001
15485,687,2,5988,2587,33,non_vegetarian,5,795,68,176,4,11404.25
11714,3690,7,3725,244,44,vegetarian,3,314,68,130,5,6029.664
4748,8804,1,4382,2625,87,vegetarian,42,350,81,194,2,7861.33
9435,2307,9,5163,1405,8,vegetarian,92,315,91,172,2,10730.36
3709,7133,8,1087,981,6,non_vegetarian,41,128,34,163,1,6830.404
13116,6509,3,2158,2764,15,non_vegetarian,2,201,85,119,5,10252.07
9576,9973,0,5273,1736,18,vegetarian,0,222,33,60,2,8315.512
10150,5906,7,3857,141,5,non_vegetarian,54,153,62,167,3,7752.027
19456,2591,6,2381,892,10,non_vegetarian,14,382,67,183,2,8981.108
6530,7183,4,5681,1391,75,non_vegetarian,46,713,17,67,3,8464.497
10188,5248,9,3064,2399,60,vegan,84,216,25,149,4,10706.0
14683,8766,4,3374,544,41,non_vegetarian,45,715,85,176,3,7866.280000000001
504,5108,6,1317,2960,12,vegetarian,57,656,96,163,3,9172.412
1214,3604,4,2502,2199,11,non_vegetarian,94,213,60,182,1,9625.75
1531,669,7,3042,1469,84,vegetarian,70,954,77,130,2,6610.966
823,4364,5,5598,2700,73,vegan,80,642,94,81,4,8289.866
17312,7329,4,3022,762,19,non_vegetarian,82,775,73,126,2,10167.41
5029,1283,8,1118,623,49,vegetarian,38,800,87,125,3,5301.24
13428,923,1,1709,655,35,vegetarian,2,392,84,151,3,4987.071000000001
16517,1125,0,4557,2497,91,non_vegetarian,29,294,47,132,2,9622.191
2105,1529,7,5140,2768,87,non_vegetarian,34,391,71,87,4,9239.652
3627,9786,2,5409,1247,68,non_vegetarian,56,986,95,198,4,6674.879999999999
12972,8438,6,4250,42,36,vegetarian,28,360,30,108,1,6791.900000000001
1852,3711,9,1417,2311,11,vegetarian,49,306,33,180,3,9089.051
4910,8004,7,3603,1026,98,vegan,61,663,86,97,3,5716.705999999999
11003,9752,5,4854,1660,39,vegetarian,51,148,88,171,1,9459.138
13843,6274,9,2101,1291,53,non_vegetarian,13,105,6,94,2,8936.695
11704,3864,8,5421,595,1,vegetarian,34,478,82,44,3,9021.267
15761,7833,6,4428,1012,49,vegan,27,493,6,175,2,9176.946
6190,6788,9,3261,2224,40,vegetarian,57,985,46,26,4,10980.62
17640,226,4,5169,2110,44,vegetarian,29,323,7,132,5,11138.822
19760,264,7,4634,957,8,non_vegetarian,89,122,77,55,1,12214.348
5645,9587,1,1508,560,61,non_vegetarian,6,756,0,29,3,4795.21
19870,645,6,3379,1330,85,vegetarian,38,209,76,132,1,9022.963
19968,7544,3,4164,1312,46,vegetarian,94,823,2,55,4,11589.852
9588,5569,8,1687,1821,4,vegetarian,68,911,52,37,4,10352.914
11829,2990,0,5752,1550,75,non_vegetarian,34,652,91,153,4,7357.924
8053,2504,6,2292,849,0,non_vegetarian,51,498,37,154,4,8021.532
3330,9346,5,4905,1278,43,vegetarian,13,271,50,121,5,6756.625
19087,587,7,4075,2651,21,vegan,62,797,14,159,2,14076.930999999999
8662,9177,4,4209,1533,37,non_vegetarian,35,825,99,188,2,8542.935
7114,4079,0,1324,1814,18,non_vegetarian,90,405,66,44,5,8475.45
13323,3348,0,2993,1741,79,non_vegetarian,23,663,63,52,2,7690.823
1353,6299,8,4976,605,30,vegan,39,681,67,106,4,6152.264
10975,3831,9,5812,2877,66,vegetarian,28,807,4,92,2,13151.086
11023,9433,5,3770,1486,86,vegetarian,52,250,89,25,1,7913.65
667,8381,9,5372,1294,41,non_vegetarian,21,527,88,156,2,7656.022000000001
9337,9172,4,3583,745,81,non_vegetarian,71,720,9,86,1,8252.745
13659,9890,0,4557,557,25,vegan,14,566,7,163,3,7072.259000000001
3719,1715,5,4587,2111,12,vegan,68,729,11,112,1,9854.888
19129,6450,5,1151,941,57,vegan,63,976,63,127,1,8517.981
7483,5433,2,1954,2296,17,vegan,3,706,58,187,4,8221.096
539,1098,7,5354,1269,66,vegetarian,74,867,66,45,4,6890.484
4964,7096,0,3371,939,86,non_vegetarian,17,655,90,57,4,4038.4700000000003
4835,2326,0,5964,1610,2,vegetarian,41,166,49,182,1,7931.548
6042,9087,5,2191,2204,54,vegetarian,29,255,22,161,5,8574.2
14837,6416,9,1687,2782,88,non_vegetarian,14,934,39,194,4,12606.952000000001
7312,6980,0,1309,1725,90,vegetarian,69,305,96,122,4,6280.31
5320,6763,5,2502,984,57,vegetarian,54,885,77,61,1,6253.47
13216,1674,0,4127,1587,62,vegetarian,52,254,86,198,3,7451.0380000000005
2779,7950,5,5568,1336,90,non_vegetarian,15,790,94,166,3,5644.02
17308,9122,2,4367,1874,51,non_vegetarian,72,608,76,85,2,11442.271000000002
1581,8915,7,4395,661,88,vegetarian,33,671,75,194,3,4845.099999999999
19708,6049,5,1813,32,23,non_vegetarian,26,173,98,61,4,6964.283
12677,1089,0,1845,1816,71,vegetarian,12,148,17,57,5,6872.487
5713,4578,4,2164,2605,8,non_vegetarian,99,882,20,160,2,12520.02
16639,9127,7,5762,2120,36,non_vegetarian,26,566,0,125,5,13338.789999999999
4804,155,2,2767,1889,93,non_vegetarian,72,684,37,191,5,8063.051
18222,9262,5,1354,2872,82,vegan,68,807,40,171,4,12462.12
10136,1958,4,2872,1156,52,non_vegetarian,85,278,41,115,1,8716.616000000002
9,6344,5,3024,60,79,non_vegetarian,30,147,8,177,1,3059.952
19255,5779,9,3817,1543,23,non_vegetarian,2,171,22,89,1,11239.579
5124,6144,0,4832,271,20,non_vegetarian,29,212,77,57,3,4677.568
1015,5063,6,5275,2293,99,vegan,20,856,10,116,1,8063.245
2193,3830,8,1065,1199,39,vegan,98,996,70,127,4,6419.964999999999
8415,9046,1,5915,2675,61,vegetarian,5,920,30,138,3,10115.425
13550,8831,9,5266,1806,69,vegetarian,91,258,87,170,1,11118.652
14512,9794,4,5090,2752,68,non_vegetarian,31,885,25,93,5,12742.25
4158,6659,9,3521,2709,13,non_vegetarian,41,879,29,76,4,12594.547000000002
6970,441,3,3581,1154,41,non_vegetarian,61,915,33,129,4,8280.935000000001
6938,6040,5,2390,1125,49,vegetarian,88,129,45,98,2,7114.76
13772,5925,5,2130,309,60,vegetarian,31,196,68,170,4,5876.045999999999
18017,7358,1,3486,1315,3,non_vegetarian,98,350,4,55,5,11792.81
10344,4628,1,1834,1745,71,vegan,85,618,60,76,4,7210.09
7266,6370,3,1226,2542,87,vegetarian,87,191,82,148,2,8921.774
8702,9528,0,4515,337,74,non_vegetarian,38,212,37,22,4,4744.158
384,948,8,5537,2626,16,non_vegetarian,63,358,27,33,4,11873.152
404,8179,6,3443,9,84,vegan,29,206,25,53,2,2717.89
8175,6115,6,1727,48,56,non_vegetarian,62,674,60,89,4,6075.97
15158,459,2,4686,1510,89,non_vegetarian,95,489,22,88,3,10083.836000000001
12763,7568,2,4622,2670,47,non_vegetarian,30,457,45,198,4,11258.260000000002
18384,4646,0,2036,1344,43,non_vegetarian,86,882,29,123,1,10626.556
9860,392,2,2832,730,44,vegetarian,39,298,66,48,1,5453.436
5989,1787,2,3740,794,90,non_vegetarian,32,526,91,67,3,4511.361999999999
15106,7374,3,1492,1648,79,vegetarian,62,577,32,113,4,9135.808
17844,1138,3,2548,132,89,vegetarian,24,958,2,98,5,6793.752000000001
3636,4741,2,2143,2130,32,non_vegetarian,35,948,68,136,4,7943.918
10916,7418,9,4957,2104,30,non_vegetarian,23,602,82,163,1,11563.098
4809,6362,7,4407,375,46,non_vegetarian,94,757,41,157,2,8311.724
13456,2454,7,1639,2396,5,non_vegetarian,57,672,61,166,3,12145.169
15444,9658,0,1172,270,71,non_vegetarian,38,219,57,86,2,5477.146000000001
5997,3674,6,5354,1506,70,non_vegetarian,45,672,56,183,5,8445.424
2048,1377,1,4959,2158,33,vegan,76,408,0,151,4,7850.514999999999
12338,6701,0,1516,2916,52,vegan,9,637,72,94,5,9368.138000000003
17100,2597,2,1522,2934,13,vegetarian,86,726,59,180,2,12276.708
4544,141,3,2917,75,15,vegan,81,574,68,47,4,3823.5989999999997
4976,2659,5,3886,1956,42,vegan,31,651,58,140,5,8076.646
12775,4596,9,3164,1666,72,non_vegetarian,96,443,45,28,1,11840.33
10015,9031,4,2929,328,73,non_vegetarian,35,727,33,153,1,6327.727
3419,5661,3,4945,2169,80,non_vegetarian,27,235,96,142,3,7295.27
14430,6142,7,3209,40,11,non_vegetarian,15,376,24,68,1,7370.473000000001
7239,5626,3,4783,1190,69,non_vegetarian,15,910,41,110,1,6971.885
14489,8787,9,3590,2969,18,vegan,17,632,28,144,2,13907.921999999999
16633,8472,1,5934,2689,40,vegetarian,7,998,24,95,1,12618.164
10357,423,2,5076,2326,52,vegetarian,79,130,53,169,1,9639.27
17154,6999,5,2093,2810,28,non_vegetarian,74,346,72,123,2,13576.614
4363,4249,7,4880,2516,69,vegetarian,69,510,66,195,1,9867.070000000002
10176,1750,7,3494,2056,58,non_vegetarian,0,126,14,168,1,8913.488
17461,4757,8,3579,12,88,non_vegetarian,61,172,3,52,3,7916.102
8427,1967,6,3488,923,63,vegetarian,75,196,37,176,1,7009.794
8580,4088,1,3785,2970,23,vegetarian,37,772,19,72,1,11192.701000000001
4858,4178,7,3758,1842,88,vegan,91,445,22,59,3,7956.159999999999
10040,7789,6,2574,1232,15,vegan,44,575,36,37,2,8355.4
19198,2946,7,3373,1214,51,non_vegetarian,57,399,61,194,1,10810.383
19758,9641,2,4990,652,79,non_vegetarian,80,398,7,32,5,9587.852
15254,5394,6,5845,1703,5,non_vegetarian,0,386,36,174,2,11447.547
11470,7880,9,2093,620,36,non_vegetarian,31,984,44,93,2,8676.632
1252,5075,8,2189,1962,84,non_vegetarian,7,548,96,115,1,6831.726000000001
6996,7230,2,3689,1645,3,non_vegetarian,39,311,32,124,3,8773.529
12173,1531,9,5095,2243,97,vegetarian,55,175,6,192,2,10362.175000000001
4673,2990,5,2875,416,91,non_vegetarian,62,500,21,150,3,5680.475
15781,7155,1,4406,663,37,vegan,87,754,4,169,5,8250.552
13051,4493,1,2787,1778,40,vegetarian,73,133,14,174,3,8668.334
6881,9335,4,4932,1379,91,vegetarian,73,597,20,86,4,7668.07
6949,933,4,2607,147,80,non_vegetarian,35,947,88,52,3,4140.702
9521,1460,6,4748,2045,13,vegetarian,88,615,16,21,2,11750.46
8017,2723,1,1048,1388,70,vegetarian,56,427,55,94,3,6024.62
6941,285,6,4861,2411,85,non_vegetarian,73,197,49,193,3,10240.871
10209,264,4,3180,1725,50,non_vegetarian,82,465,6,93,4,10300.78
17715,6816,5,4046,401,64,non_vegetarian,44,828,49,180,4,8612.184
9550,1762,7,3833,2653,92,non_vegetarian,78,562,59,154,1,11728.176
4637,40,9,2397,1515,51,non_vegetarian,79,127,82,162,2,8970.813
4854,5827,3,4826,2031,94,non_vegetarian,1,812,6,45,1,7619.834000000001
19561,8259,6,5574,228,29,vegetarian,92,485,39,158,4,10034.45
10320,987,5,1831,1598,56,non_vegetarian,67,372,44,147,3,9146.146
18564,7804,9,3697,2584,78,non_vegetarian,49,925,58,185,4,13949.97
4892,7789,1,5777,267,81,vegan,28,226,87,46,5,2904.749
7043,5717,7,3735,1428,98,vegan,94,301,74,154,3,6986.268000000001
16521,3198,9,1081,1816,29,vegan,80,620,54,148,1,10675.215
19856,5374,8,1086,1034,97,non_vegetarian,9,386,63,40,3,8824.266
19216,4790,4,3063,1343,41,vegan,26,549,64,98,5,9168.437
19963,7183,9,1821,125,10,non_vegetarian,14,187,53,177,4,8207.402
4164,2524,3,1162,2353,26,non_vegetarian,59,417,95,113,2,8475.470000000001
7941,9277,5,4739,1725,23,non_vegetarian,30,118,39,27,2,9516.129
14388,2479,7,3397,1112,98,non_vegetarian,20,692,52,102,2,8147.408
5569,9885,2,2932,2675,38,vegan,59,206,43,22,4,8896.926000000001
4300,5154,9,3728,1375,71,vegetarian,57,557,62,74,2,7808.7480000000005
6269,778,0,4535,688,17,vegetarian,40,410,1,162,5,5821.345
3818,9777,3,4446,1280,76,non_vegetarian,45,511,78,55,4,6513.326
12015,1492,3,3790,1232,44,vegan,44,841,20,25,2,8201.44
12234,660,0,3707,280,87,vegetarian,25,723,87,140,1,3787.437
18290,1348,8,4933,442,86,vegetarian,50,831,49,61,4,8392.568
6254,9491,2,4385,1863,11,non_vegetarian,35,734,80,69,4,9111.914999999999
17144,7851,4,1922,836,48,vegan,51,597,51,131,3,7795.024
7350,7156,5,3175,388,93,non_vegetarian,80,343,8,165,2,6692.933
15183,2044,7,2582,616,30,vegan,50,789,98,69,1,7322.904
6238,7368,5,1564,146,91,non_vegetarian,2,676,19,49,5,4267.988
6090,3516,2,4258,520,21,vegetarian,13,479,82,58,4,4946.406
11637,9250,5,3597,629,43,non_vegetarian,48,614,17,135,5,8536.361
12647,9168,0,3500,2481,91,non_vegetarian,76,306,83,159,5,10252.936
9911,4577,3,5566,2191,63,vegetarian,90,493,29,78,5,10217.814
8472,727,5,1987,288,76,non_vegetarian,0,120,64,95,3,3872.95
18271,7468,6,4636,1409,24,non_vegetarian,56,904,23,191,5,12872.224
3266,342,9,1223,13,50,non_vegetarian,16,626,87,151,2,3830.534
666,1447,2,1350,256,6,non_vegetarian,49,442,46,183,2,3604.674
4188,6581,8,2928,1721,5,vegan,97,817,82,67,1,8787.958
17055,6317,6,1348,1423,23,non_vegetarian,13,301,93,161,1,8980.756
10161,526,0,5277,1230,18,non_vegetarian,58,219,89,100,5,8291.431999999999
11314,6748,1,5732,857,82,non_vegetarian,80,748,43,68,5,8007.528
12891,405,0,2017,2990,99,non_vegetarian,2,911,28,86,3,9823.190999999999
4777,7986,8,3226,1195,8,vegan,97,906,76,96,5,8143.852
3900,9765,8,5867,463,35,non_vegetarian,39,488,67,156,5,7443.897
13716,3740,6,5124,269,39,non_vegetarian,88,636,16,40,5,9868.652
6981,1846,9,3419,1244,92,vegetarian,65,923,96,124,4,7307.216
6376,1478,2,2893,2670,23,non_vegetarian,33,333,4,91,4,9769.329000000002
16907,771,4,4040,1206,47,non_vegetarian,89,732,91,35,3,10424.134000000002
18777,5525,3,3068,71,62,vegetarian,94,701,87,163,3,6939.603999999999
